ewma_01,ewma_005,ewma_001,price,buy_signal,price_diff,timestamp
2542.868,2542.669,2542.5098,2546.45,0,-0.006609201044591462,1623185160
2545.8799999999997,2546.1649999999995,2546.3929999999996,2540.75,0,-0.0043805962806258425,1623185220
2541.027,2540.8885,2540.7777,2543.52,0,-0.005464867585078982,1623185280
2543.884,2543.702,2543.5564,2547.16,0,-0.00668195166381381,1623185340
2547.534,2547.3469999999998,2547.1974,2550.9,0,-0.008138304127954925,1623185400
2550.548,2550.724,2550.8648000000003,2547.38,0,-0.006351624021543818,1623185460
2546.914,2547.147,2547.3334,2542.72,0,-0.004530581424616153,1623185520
2542.555,2542.6375,2542.7034999999996,2541.07,0,-0.0038841905181676794,1623185580
2541.2780000000002,2541.174,2541.0908000000004,2543.15,0,-0.006110532213986577,1623185640
2542.88,2543.015,2543.123,2540.45,0,-0.005054222677084647,1623185700
2540.5449999999996,2540.4975,2540.4595,2541.4,0,-0.005426143070748392,1623185760
2540.813,2541.1065,2541.3413,2535.53,0,-0.0041017065465603205,1623185820
2536.117,2535.8235000000004,2535.5887000000002,2541.4,0,-0.0064019831588887945,1623185880
2541.105,2541.2525,2541.3705,2538.45,0,-0.005247296578620698,1623185940
2537.715,2538.0824999999995,2538.3765,2531.1,0,-0.002971040259175845,1623186000
2530.47,2530.785,2531.037,2524.8,0,-0.0004832065906211401,1623186060
2525.288,2525.044,2524.8488,2529.68,0,-0.0005969134435975157,1623186120
2529.396,2529.538,2529.6515999999997,2526.84,0,0.000526349115891757,1623186180
2526.9040000000005,2526.872,2526.8464000000004,2527.48,0,0.0002729991928719731,1623186240
2527.425,2527.4525,2527.4745,2526.93,0,0.0010447459961298207,1623186300
2526.426,2526.678,2526.8795999999998,2521.89,0,0.0030453350463344126,1623186360
2522.262,2522.0759999999996,2521.9272,2525.61,0,0.0015718974821923414,1623186420
2526.027,2525.8185,2525.6517,2529.78,0,-0.00007905825803045041,1623186480
2530.492,2530.136,2529.8512000000005,2536.9,0,-0.002885411328787167,1623186540
2536.413,2536.6565,2536.8513,2532.03,0,-0.0018009265293066827,1623186600
2531.523,2531.7765,2531.9793000000004,2526.96,0,0.00020182353499848178,1623186660
2526.8430000000003,2526.9015,2526.9483,2525.79,0,-0.0013540318078700418,1623186720
2526.1140000000005,2525.9519999999998,2525.8224,2529.03,0,-0.0026334207186155595,1623186780
2529.251,2529.1405,2529.0521,2531.24,0,-0.003504211374662178,1623186840
2530.616,2530.928,2531.1776,2525,0,0.002277227722772277,1623186900
2524.576,2524.788,2524.9576,2520.76,0,0.003963090496516836,1623186960
2520.607,2520.6835,2520.7447,2519.23,0,0.004572825823763603,1623187020
2519.434,2519.3320000000003,2519.2504,2521.27,0,0.00550516208101477,1623187080
2521.612,2521.441,2521.3042,2524.69,0,0.004143082913149748,1623187140
2524.521,2524.6055,2524.6731,2523,0,0.0048156956004756606,1623187200
2522.82,2522.91,2522.982,2521.2,0,0.003970331588132722,1623187260
2521.029,2521.1144999999997,2521.1829,2519.49,0,0.004651735073368125,1623187320
2519.7409999999995,2519.6154999999994,2519.5150999999996,2522,0,0.004861221252973917,1623187380
2522.025,2522.0125000000003,2522.0025,2522.25,0,0.004761621568044491,1623187440
2522.725,2522.4874999999997,2522.2975,2527,0,0.002872971903442904,1623187500
2526.9100000000003,2526.955,2526.991,2526.1,0,0.004081390285420192,1623187560
2525.861,2525.9804999999997,2526.0760999999998,2523.71,0,0.005032273914197676,1623187620
2523.543,2523.6265,2523.6933000000004,2522.04,0,0.005689838384799571,1623187680
2521.873,2521.9565,2522.0233,2520.37,0,0.006356209604145416,1623187740
2520.4210000000003,2520.3954999999996,2520.3750999999997,2520.88,0,0.006152613373107709,1623187800
2520.9090000000006,2520.8945,2520.8829,2521.17,0,0.008404827917197195,1623187860
2521.7090000000003,2521.4395,2521.2239000000004,2526.56,0,0.0062535621556583584,1623187920
2526.208,2526.384,2526.5247999999997,2523.04,0,0.0037098103874691354,1623187980
2522.911,2522.9755,2523.0271000000002,2521.75,0,0.004223257658372198,1623188040
2521.4700000000003,2521.6099999999997,2521.7219999999998,2518.95,0,0.005339526389964181,1623188100
2518.6229999999996,2518.7864999999997,2518.9173,2515.68,0,0.0056724225656681225,1623188160
2514.637,2515.1584999999995,2515.5756999999994,2505.25,0,0.009859295479492993,1623188220
2505.457,2505.3534999999997,2505.2706999999996,2507.32,0,0.009025573121898941,1623188280
2507.2700000000004,2507.295,2507.3150000000005,2506.82,0,0.008799993617411678,1623188340
2507.2180000000003,2507.0190000000002,2506.8598,2510.8,0,0.0072008921459295544,1623188400
2511.398,2511.099,2510.8598,2516.78,0,0.004807730512798062,1623188460
2516.7200000000003,2516.7500000000005,2516.774,2516.18,0,0.002511743992878158,1623188520
2516.2439999999997,2516.2119999999995,2516.1864,2516.82,0,0.002256816141003264,1623188580
2517.2610000000004,2517.0405,2516.8641000000002,2521.23,0,0.001828472610590913,1623188640
2521.599,2521.4145,2521.2669,2524.92,0,0.000364367979975632,1623188700
